yearID,teamID,lgID,salary
2008,CHN,NL,118345833
2008,CIN,NL,74117695
2008,CLE,AL,78970066
2008,COL,NL,68655500
2008,DET,AL,137685196
2008,FLO,NL,21811500
2008,HOU,NL,88930414
2008,KCA,AL,58245500
2008,LAA,AL,119216333
2008,LAN,NL,118588536
2008,MIL,NL,80937499
2008,MIN,AL,56932766
2008,NYA,AL,207896789
2008,NYN,NL,137793376
2008,OAK,AL,47967126
2008,PHI,NL,97879880
2008,PIT,NL,48689783
2008,SDN,NL,73677616
2008,SEA,AL,117666482
2008,SFN,NL,76594500
2008,SLN,NL,99624449
2008,TBA,AL,43820597
2008,TEX,AL,67712326
2008,TOR,AL,97793900
2008,WAS,NL,54961000
2009,ARI,NL,73115666
2009,ATL,NL,96726166
2009,BAL,AL,67101666
2009,BOS,AL,121345999
2009,CHA,AL,96068500
2009,CHN,NL,134809000
2009,CIN,NL,73558500
2009,CLE,AL,81579166
2009,COL,NL,75201000
2009,DET,AL,115085145
2009,FLO,NL,36834000
2009,HOU,NL,102996414
2009,KCA,AL,70519333
2009,LAA,AL,113709000
2009,LAN,NL,100414592
2009,MIL,NL,80182502
2009,MIN,AL,65299266
2009,NYA,AL,201449189
2009,NYN,NL,149373987
2009,OAK,AL,61910000
2009,PHI,NL,113004046
2009,PIT,NL,48693000
2009,SDN,NL,43333700
2009,SEA,AL,98904166
2009,SFN,NL,83026450
2009,SLN,NL,88528409
2009,TBA,AL,63313034
2009,TEX,AL,68178798
2009,TOR,AL,80538300
2009,WAS,NL,59928000
2010,ARI,NL,60718166
2010,ATL,NL,84423666
2010,BAL,AL,81612500
2010,BOS,AL,162447333
2010,CHA,AL,105530000
2010,CHN,NL,146609000
2010,CIN,NL,71761542
2010,CLE,AL,61203966
2010,COL,NL,84227000
2010,DET,AL,122864928
2010,FLO,NL,57029719
2010,HOU,NL,92355500
2010,KCA,AL,71405210
2010,LAA,AL,104963866
2010,LAN,NL,95358016
2010,MIL,NL,81108278
2010,MIN,AL,97559166
2010,NYA,AL,206333389
2010,NYN,NL,134422942
2010,OAK,AL,55254900
2010,PHI,NL,141928379
2010,PIT,NL,34943000
2010,SDN,NL,37799300
2010,SEA,AL,86510000
2010,SFN,NL,98641333
2010,SLN,NL,93540751
2010,TBA,AL,71923471
2010,TEX,AL,55250544
2010,TOR,AL,62234000
2010,WAS,NL,61400000
2011,ARI,NL,53639833
2011,ATL,NL,87002692
2011,BAL,AL,85304038
2011,BOS,AL,161762475
2011,CHA,AL,127789000
2011,CHN,NL,125047329
2011,CIN,NL,75947134
2011,CLE,AL,48776566
2011,COL,NL,88148071
2011,DET,AL,105700231
2011,FLO,NL,56944000
2011,HOU,NL,70694000
2011,KCA,AL,35712000
2011,LAA,AL,138543166
2011,LAN,NL,104188999
2011,MIL,NL,85497333
2011,MIN,AL,112737000
2011,NYA,AL,202275028
2011,NYN,NL,118847309
2011,OAK,AL,66536500
2011,PHI,NL,172976379
2011,PIT,NL,45047000
2011,SDN,NL,45869140
2011,SEA,AL,86110600
2011,SFN,NL,118198333
2011,SLN,NL,105433572
2011,TBA,AL,41053571
2011,TEX,AL,92299264
2011,TOR,AL,62567800
2011,WAS,NL,63856928
2012,ARI,NL,73804833
2012,ATL,NL,82829942
2012,BAL,AL,77353999
2012,BOS,AL,173186617
2012,CHA,AL,96919500
2012,CHN,NL,88197033
2012,CIN,NL,82203616
2012,CLE,AL,78430300
2012,COL,NL,78069571
2012,DET,AL,132300000
2012,HOU,NL,60651000
2012,KCA,AL,60916225
2012,LAA,AL,154485166
2012,LAN,NL,95143575
2012,MIA,NL,118078000
2012,MIL,NL,97653944
2012,MIN,AL,94085000
2012,NYA,AL,196522289
2012,NYN,NL,93353983
2012,OAK,AL,55372500
2012,PHI,NL,174538938
2012,PIT,NL,62951999
2012,SDN,NL,55244700
2012,SEA,AL,81978100
2012,SFN,NL,117620683
2012,SLN,NL,110300862
2012,TBA,AL,64173500
2012,TEX,AL,120510974
2012,TOR,AL,75009200
2012,WAS,NL,80855143
2013,ARI,NL,90132000
2013,ATL,NL,87871525
2013,BAL,AL,84393333
2013,BOS,AL,151530000
2013,CHA,AL,120065277
2013,CHN,NL,100567726
2013,CIN,NL,106404462
2013,CLE,AL,75771800
2013,COL,NL,74409071
2013,DET,AL,145989500
2013,HOU,AL,17890700
2013,KCA,AL,80091725
2013,LAA,AL,124174750
2013,LAN,NL,223362196
2013,MIA,NL,33601900
2013,MIL,NL,76947033
2013,MIN,AL,75337500
2013,NYA,AL,231978886
2013,NYN,NL,49448346
2013,OAK,AL,60132500
2013,PHI,NL,169863189
2013,PIT,NL,77062000
2013,SDN,NL,65585500
2013,SEA,AL,74005043
2013,SFN,NL,140180334
2013,SLN,NL,92260110
2013,TBA,AL,52955272
2013,TEX,AL,112522600
2013,TOR,AL,126288100
2013,WAS,NL,113703270
2014,ARI,NL,97861500
2014,ATL,NL,97609000
2014,BAL,AL,103416000
2014,BOS,AL,139019929
2014,CHA,AL,81830500
2014,CHN,NL,65522500
2014,CIN,NL,108217500
2014,CLE,AL,82151899
2014,COL,NL,95403500
2014,DET,AL,152855500
2014,HOU,AL,35116300
2014,KCA,AL,74594075
2014,LAA,AL,121988250
2014,LAN,NL,217014600
2014,MIA,NL,41836900
2014,MIL,NL,101217000
2014,MIN,AL,83762500
2014,NYA,AL,197543907
2014,NYN,NL,85556990
2014,OAK,AL,72408400
2014,PHI,NL,180944967
2014,PIT,NL,77178000
2014,SDN,NL,75685700
2014,SEA,AL,92531100
2014,SFN,NL,163510167
2014,SLN,NL,120693000
2014,TBA,AL,72689100
2014,TEX,AL,112255059
2014,TOR,AL,109920100
2014,WAS,NL,131983680
2015,ARI,NL,61834000
2015,ATL,NL,71781250
2015,BAL,AL,115044833
2015,BOS,AL,181103400
2015,CHA,AL,112373700
2015,CHN,NL,115879310
2015,CIN,NL,113072286
2015,CLE,AL,87663766
2015,COL,NL,95688600
2015,DET,AL,172284750
2015,HOU,AL,72256200
2015,KCA,AL,112107025
2015,LAA,AL,120005415
2015,LAN,NL,215792000
2015,MIA,NL,68056500
2015,MIL,NL,100850000
2015,MIN,AL,107755000
2015,NYA,AL,212751957
2015,NYN,NL,96766683
2015,OAK,AL,79053501
2015,PHI,NL,111693000
2015,PIT,NL,88892499
2015,SDN,NL,118441300
2015,SEA,AL,122208700
2015,SFN,NL,164701500
2015,SLN,NL,119241500
2015,TBA,AL,64521233
2015,TEX,AL,143742789
2015,TOR,AL,112992400
2015,WAS,NL,155587472
2016,ARI,NL,87439063
2016,ATL,NL,68498291
2016,BAL,AL,161863456
2016,BOS,AL,188545761
2016,CHA,AL,112998667
2016,CHN,NL,154067668
2016,CIN,NL,88940059
2016,CLE,AL,74311900
2016,COL,NL,112645071
2016,DET,AL,194876481
2016,HOU,AL,94893700
2016,KCA,AL,131487125
2016,LAA,AL,137251333
2016,LAN,NL,221288380
2016,MIA,NL,77314202
2016,MIL,NL,68775237
2016,MIN,AL,102583200
2016,NYA,AL,222997792
2016,NYN,NL,133889129
2016,OAK,AL,86806234
2016,PHI,NL,58980000
2016,PIT,NL,103778833
2016,SDN,NL,101424814
2016,SEA,AL,135683339
2016,SFN,NL,172253778
2016,SLN,NL,143053500
2016,TBA,AL,57097310
2016,TEX,AL,176038723
2016,TOR,AL,138701700
2016,WAS,NL,141652646
